,label
0,1
1,2
2,1
3,1
4,2
5,4
6,1
7,1
8,1
9,4
10,1
11,1
12,1
13,1
14,1
15,1
16,4
17,1
18,1
19,4
20,1
21,4
22,1
23,1
24,1
25,3
26,3
27,1
28,1
29,4
30,1
31,1
32,2
33,3
34,1
35,3
36,1
37,1
38,1
39,1
40,2
41,1
42,1
43,1
44,2
45,1
46,1
47,1
48,2
49,1
50,1
51,1
52,1
53,4
54,1
55,1
56,1
57,3
58,2
59,1
60,1
61,1
62,1
63,2
64,1
65,3
66,1
67,5
68,1
69,2
70,5
71,1
72,3
73,1
74,1
75,1
76,2
77,1
78,1
79,5
80,3
81,1
82,2
83,2
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,4
95,4
96,3
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,4
106,1
107,1
108,1
109,1
110,4
111,1
112,1
113,4
114,1
115,3
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,3
135,1
136,1
137,1
138,1
139,4
140,1
141,1
142,2
143,2
144,1
145,1
146,1
147,4
148,1
