,label
0,9
1,9
2,9
3,1
4,1
5,8
6,1
7,6
8,2
9,4
10,1
11,4
12,8
13,7
14,4
15,7
16,1
17,9
18,8
19,9
20,2
21,9
22,8
23,4
24,1
25,9
26,7
27,9
28,6
29,4
30,6
31,8
32,1
33,1
34,1
35,8
36,2
37,8
38,9
39,5
40,2
41,1
42,8
43,8
44,2
45,6
46,8
47,6
48,8
49,6
50,4
51,7
52,1
53,9
54,3
55,1
56,1
57,9
58,8
59,1
60,8
61,4
62,8
63,7
64,3
65,1
66,1
67,7
68,1
69,9
70,3
71,9
72,8
73,1
74,6
75,2
76,4
77,3
78,8
79,5
80,6
81,9
82,2
83,2
84,9
85,4
86,3
87,5
88,5
89,9
90,8
91,9
92,9
93,7
94,8
95,3
96,7
97,5
98,1
99,9
100,4
101,8
102,7
103,5
104,6
105,8
106,1
107,7
108,1
109,7
110,6
111,8
112,9
113,4
114,5
115,5
116,2
117,3
118,6
119,7
120,7
121,7
122,1
123,9
124,8
125,8
126,1
127,8
128,7
129,6
130,8
131,4
132,9
133,1
134,8
135,8
136,1
137,9
138,1
139,7
140,9
141,7
142,7
143,4
144,7
145,1
146,7
147,1
148,5
149,9
150,2
151,2
152,8
153,8
154,9
155,9
156,9
157,9
158,1
159,2
160,9
161,6
162,3
163,4
164,3
165,1
166,1
167,6
168,5
169,7
170,7
171,7
172,5
173,1
174,5
175,2
176,2
177,4
178,8
179,8
180,4
181,5
182,4
183,9
184,3
185,8
186,7
187,7
188,7
189,8
190,1
191,8
192,6
193,8
194,3
195,4
196,9
197,6
198,9
199,1
200,8
201,5
202,5
203,2
204,6
205,6
206,8
207,8
208,1
209,7
210,9
211,5
212,8
213,9
214,1
215,4
216,8
217,7
218,9
219,9
220,8
221,6
222,7
223,9
224,8
225,6
226,8
227,9
228,8
229,9
230,9
231,4
232,9
233,8
234,5
235,7
236,9
237,9
238,5
239,6
240,8
241,9
242,9
243,8
244,9
245,4
246,9
247,7
248,7
249,8
250,8
251,1
252,2
253,4
254,6
255,3
256,4
257,4
258,5
259,2
260,6
261,6
262,8
263,6
264,1
265,8
266,7
267,5
268,9
269,6
270,4
271,8
272,4
273,3
274,7
275,8
276,6
277,8
278,9
279,9
280,9
281,1
282,8
283,8
284,1
285,5
286,1
287,9
288,4
289,3
290,9
291,1
