,0,2,3,4,5,6,7,8,9,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,40,41,43,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65,66,70,71,72,73,74,75,76,77,78,79,80,81,82,83,91,92,93,94,95,98,99,100,101,102,103,104
6,-0.22702,-0.22738,-0.029811,-0.016567,-0.019059,0.17351,-0.20809,-0.089724,0.18214,0.25685,0.029083,0.017539,0.17324,0.42714,0.046732,24.0,38.0,28.0,28.0,7.0,32.0,-10.0,-66.0,39.0,0.000808,0.00034459,0.00027126,0.00015239,0.00025811,-0.0021964,0.00097311,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,0.04343,-124.55,-41.797,-67.039,220.48,66.678,-21.434,-163.14,138.63,14.908,-251.89,39.331,31.31,46.887,107.85,111.46,-211.83,44.609,-181.0,37.453,-41.971,-110.5,-19.948,324.44,-68.555,-158.48,25.999,-76.059,315.32,12.203,-102.0,1.8903,177.45,-168.4,184.99,-201.84,197.64,-176.34,175.13,-148.47,-204.82,176.28,-170.85,174.13
10,-0.344,-0.30134,-0.0286,-0.019699,-0.015562,0.16639,-0.21708,-0.077322,0.19857,0.21982,0.018879,0.028089,0.167,0.42169,0.038638,22.0,-42.0,22.0,25.0,-19.0,45.0,-78.0,-4.0,13.0,0.00024935,0.00071786,0.00033342,-5.4756e-05,-3.4961999999999995e-05,-0.0019971,0.00086685,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,0.047239,-139.69,-42.933,-107.9,127.14,91.888,74.056,5.8462,136.22,46.135,-251.95,-5.2294,51.166,63.535,46.837,184.55,-188.22,59.091,-244.41,82.382,39.991,136.54,12.998,-35.555,-77.888,-217.1,59.423,77.796,109.95,-133.88,68.841,65.329,178.41,-164.86,173.87,-190.72,191.31,-176.4,-132.77,118.5,-151.9,161.7,-166.81,178.83
13,-0.15759,-0.1432,-0.017362,-0.010055,-0.009058,0.17628,-0.19337,-0.085717,0.097961,0.13441,0.015067,0.0019302,0.17036,0.42267,0.053063,23.0,31.0,23.0,33.0,34.0,46.0,-3.0,-2.0,2.0,0.00014228,0.0011246,-0.00014323,-4.2454e-05,2.3959000000000002e-05,-0.0021711,0.00078808,2.0,3.0,1.0,2.0,0.0,2.0,2.0,3.0,0.037665,-108.6,-57.666,-49.055,-8.4836,258.02,7.6337,-173.96,123.9,29.612,-260.75,18.603,97.121,15.647,145.1,66.059,-215.58,22.499,-220.01,46.665,18.669,-196.54,2.8051,24.497,191.49,-195.4,23.78,52.549,129.51,73.886,-42.167,-47.774,181.13,-174.03,182.38,-192.29,189.0,179.2,-161.28,176.01,164.52,-167.65,-182.19,176.52
14,-0.18438,-0.1735,-0.023667,-0.016955,-0.012179,0.17499,-0.19899,-0.085977,0.12265,0.15754,0.023812,0.012292,0.16273,0.42313,0.050902,23.0,-42.0,26.0,33.0,43.0,34.0,-2.0,-75.0,80.0,-0.00021897,0.00071158,-0.00022898,0.00019829,4.8784e-05,-0.0021813,0.00096283,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.039706,-132.35,-41.807,-13.552,-98.481,328.28,-70.261,45.974,136.8,33.911,-315.39,79.442,12.415,68.143,71.041,176.53,-69.774,-118.27,270.91,-90.394,13.151,2.8945,-168.53,-22.059,-1.0426,-123.61,-55.923,26.978,39.316,165.6,-297.29,235.01,179.0,-167.2,173.48,-190.57,198.85,-186.35,-146.91,159.9,159.89,-132.91,144.38,-174.38
16,-0.26918,-0.15047,-0.026731,-0.023588,-0.012969,0.17556,-0.19894,-0.078675,0.1396,0.16545,0.019609,0.0084558,0.16695,0.42588,0.05049,28.0,-39.0,29.0,32.0,32.0,17.0,-78.0,-2.0,2.0,0.0031684,-8.0239e-05,0.00036844,-0.00010756,0.00022921,-0.0020867,0.00087868,2.0,2.0,1.0,3.0,0.0,1.0,1.0,4.0,0.039598,-117.21,-16.302,-86.492,97.785,154.88,13.787,-110.26,135.07,17.297,-277.2,30.981,84.386,33.166,68.913,80.789,-191.18,64.234,212.97,-14.208,-41.44,-131.31,298.5,-293.55,142.53,-134.42,-24.246,-58.672,273.11,-207.52,217.29,-80.207,178.65,-171.3,182.72,-194.85,192.48,-189.53,-165.25,198.13,152.79,-158.1,159.6,-175.18
18,-0.097681,-0.090945,-0.014584,-0.0069645,-0.0067286,0.18182,-0.18892,-0.070215,0.058539,0.082517,0.010651,0.0041144,0.16856,0.42917,0.058244,21.0,-43.0,24.0,41.0,45.0,34.0,-2.0,-2.0,2.0,-0.0003536,0.00046565,-0.00020745,0.00010419,1.4850999999999999e-05,-0.0020965,0.00097669,2.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.035756,-156.31,-37.475,-20.461,-63.062,230.65,20.568,64.348,137.91,30.176,-256.54,-25.063,75.399,32.076,92.124,204.39,-141.59,-55.416,213.13,-42.404,-3.0772,26.909,-192.94,-9.0148,23.719,-93.758,-97.02,0.08255,50.375,131.92,-282.12,269.49,181.73,-173.7,178.26,-185.68,188.06,-182.01,-165.81,172.93,172.08,-162.65,165.54,-176.08
20,-0.16,-0.10762,-0.02014,-0.020286,-0.0093214,0.18789,-0.17926,-0.06196,0.13827,0.1367,0.016315,0.010294,0.16953,0.43189,0.066046,24.0,37.0,26.0,30.0,29.0,40.0,-3.0,-70.0,74.0,-0.00061057,0.0014537,-0.00073821,-2.946e-05,0.00011909,-0.0020823,0.00099218,1.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,0.032441,-147.47,-37.752,-81.47,274.14,-27.195,18.114,-14.55,152.06,17.198,-267.43,40.813,57.222,38.649,40.317,175.01,-197.78,43.923,224.98,-33.886,-48.406,-106.62,279.7,-297.46,-3.9727,-125.31,-42.717,-63.186,278.56,-174.16,178.58,-73.636,180.39,-173.26,182.79,-193.31,191.79,-188.45,187.56,-150.34,144.15,-159.41,161.16,-173.38
21,-0.15844,-0.11333,-0.021013,-0.013837,-0.011127,0.18896,-0.17573,-0.063374,0.13956,0.13431,0.01813,0.010534,0.17242,0.43169,0.067897,26.0,35.0,27.0,30.0,31.0,41.0,-2.0,-61.0,66.0,0.0018412,0.00029868,4.2804e-05,-3.5819000000000004e-05,0.00014742,-0.0020975,0.0009057,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.030987,-88.676,-13.411,-90.788,246.24,3.7162,18.529,-170.82,106.22,11.239,-278.33,59.153,64.424,23.71,145.05,16.102,-193.09,54.259,199.34,-11.28,-55.714,-109.64,-44.242,41.676,202.88,-155.25,-14.074,-81.432,293.04,-248.56,242.64,-66.059,180.53,-175.66,186.79,-195.68,190.92,-187.2,182.61,-139.97,138.6,-165.85,172.96,-179.64
22,-0.19716,-0.16441,-0.025911,-0.024519,-0.012781,0.19158,-0.16582,-0.064457,0.1255,0.1649,0.014515,0.008536,0.16612,0.42996,0.072392,24.0,-35.0,25.0,30.0,55.0,13.0,-78.0,-2.0,2.0,2.9401e-05,0.00094995,5.0653000000000004e-05,-6.6429e-05,-2.6044e-05,-0.0021123,0.00076204,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.027497,-147.92,-24.457,-81.851,43.887,158.21,60.237,-31.027,149.19,23.342,-304.18,53.897,59.276,67.396,18.159,178.3,-211.99,71.875,259.86,-83.806,-23.993,-73.977,192.76,-252.14,15.222,-88.517,-102.2,-29.14,-60.465,139.86,195.02,-75.963,179.37,-167.72,174.25,-187.76,190.53,-186.87,-156.44,175.16,-189.63,188.98,158.66,-166.24
